[2026-08-09T14:12:26.466Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-08-09T14:12:26.468Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-08-09T14:12:26.469Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-08-09T14:12:26.469Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-08-09T14:12:26.469Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-08-09T14:12:26.470Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-08-09T14:12:26.470Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-08-09T14:12:26.471Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-08-09T14:12:26.471Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-08-09T14:12:26.476Z] [INFO] Daemon started (PID: 27516, CPUs: 8, workers: 7, maxCpuLoad: 6.4, minFreeMemoryPercent: 10%)
[2026-08-09T14:12:26.480Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-08-09T14:12:26.482Z] [INFO] Worker map completed in 5ms
[2026-08-09T14:14:26.487Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-08-09T14:14:26.491Z] [INFO] Worker audit completed in 12ms
[2026-08-09T14:16:26.494Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-08-09T14:16:26.493Z] [INFO] Worker optimize completed in 9ms
[2026-08-09T14:18:26.491Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-08-09T14:18:26.496Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-08-09T14:18:26.497Z] [INFO] Worker consolidate completed in 20ms
[2026-08-09T14:20:26.491Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-08-09T14:20:26.492Z] [INFO] Worker testgaps completed in 9ms
